c,h,l,n,o,t,v,vw
185.26,185.31,185.26,120,185.31,2024-01-03T00:00:00Z,2359,185.291289
185.23,185.24,185.15,187,185.24,2024-01-03T00:05:00Z,5499,185.226363
185.24,185.24,185.18,145,185.2,2024-01-03T00:10:00Z,4527,185.220156
185.26,185.29,185.19,140,185.2,2024-01-03T00:15:00Z,6241,185.264973
185.2491,185.3,185.2,120,185.29,2024-01-03T00:20:00Z,7167,185.275669
185.21,185.3,185.2,161,185.2,2024-01-03T00:25:00Z,6537,185.223473
185.18,185.23,185.18,136,185.2,2024-01-03T00:30:00Z,3693,185.199127
185.27,185.27,185.2,98,185.2,2024-01-03T00:35:00Z,2112,185.238969
185.2,185.27,185.2,66,185.27,2024-01-03T00:40:00Z,2031,185.240423
185.21,185.28,185.2,162,185.2,2024-01-03T00:45:00Z,3840,185.225056
185.24,185.25,185.21,154,185.2101,2024-01-03T00:50:00Z,5283,185.223028
185.2,185.28,185.2,187,185.24,2024-01-03T00:55:00Z,8166,185.223447
184.9,185,184.9,289,185,2024-01-03T09:00:00Z,8305,184.923741
184.88,184.88,184.73,156,184.85,2024-01-03T09:05:00Z,4403,184.84769
184.87,184.99,184.87,106,184.87,2024-01-03T09:10:00Z,3445,184.947084
184.86,184.94,184.86,82,184.93,2024-01-03T09:15:00Z,2395,184.879792
184.99,184.99,184.89,71,184.9,2024-01-03T09:20:00Z,2866,184.930839
184.92,184.93,184.92,56,184.93,2024-01-03T09:25:00Z,1232,184.92304
184.9,184.9,184.86,45,184.86,2024-01-03T09:35:00Z,1467,184.892
184.79,184.88,184.79,86,184.88,2024-01-03T09:40:00Z,1426,184.83049
184.76,184.76,184.76,17,184.76,2024-01-03T09:45:00Z,446,184.76
184.72,184.72,184.72,19,184.72,2024-01-03T09:50:00Z,402,184.72
184.72,184.72,184.72,33,184.72,2024-01-03T09:55:00Z,937,184.72
184.68,184.68,184.67,50,184.67,2024-01-03T10:00:00Z,921,184.673333
184.79,184.79,184.72,76,184.72,2024-01-03T10:05:00Z,2251,184.75433
184.8,184.8,184.77,70,184.77,2024-01-03T10:10:00Z,4540,184.797129
184.79,184.8,184.79,35,184.8,2024-01-03T10:15:00Z,1023,184.792402
184.77,184.81,184.77,35,184.78,2024-01-03T10:20:00Z,1463,184.776467
184.7,184.7,184.7,25,184.7,2024-01-03T10:25:00Z,1128,184.7
184.7,184.7,184.69,26,184.69,2024-01-03T10:30:00Z,692,184.693333
184.71,184.71,184.71,6,184.71,2024-01-03T10:35:00Z,203,184.71
184.8,184.8,184.77,29,184.77,2024-01-03T10:40:00Z,976,184.788447
184.8,184.83,184.8,62,184.83,2024-01-03T10:45:00Z,3023,184.828671
184.82,184.82,184.82,15,184.82,2024-01-03T10:50:00Z,522,184.82
184.73,184.73,184.73,38,184.73,2024-01-03T10:55:00Z,803,184.73
184.8,184.8,184.8,11,184.8,2024-01-03T11:00:00Z,196,184.8
184.82,184.83,184.82,13,184.83,2024-01-03T11:05:00Z,378,184.824975
184.74,184.74,184.74,34,184.74,2024-01-03T11:20:00Z,855,184.74
184.7,184.7,184.7,10,184.7,2024-01-03T11:25:00Z,250,184.7
184.76,184.76,184.66,118,184.66,2024-01-03T11:30:00Z,3149,184.742906
184.72,184.75,184.71,65,184.75,2024-01-03T11:35:00Z,5778,184.746528
184.75,184.76,184.75,50,184.75,2024-01-03T11:40:00Z,1047,184.753826
184.78,184.78,184.78,145,184.78,2024-01-03T11:45:00Z,1925,184.78
184.9,184.9,184.85,63,184.85,2024-01-03T11:50:00Z,3116,184.872942
185,185,184.9,173,184.9,2024-01-03T11:55:00Z,4686,184.972
184.88,184.99,184.88,216,184.95,2024-01-03T12:00:00Z,7065,184.926807
184.87,184.9,184.84,107,184.87,2024-01-03T12:05:00Z,3206,184.86881
184.9,184.95,184.89,154,184.94,2024-01-03T12:10:00Z,3691,184.918311
184.9,184.9,184.84,124,184.86,2024-01-03T12:15:00Z,2275,184.866324
184.72,184.88,184.72,346,184.88,2024-01-03T12:20:00Z,8654,184.799995
184.67,184.67,184.58,418,184.67,2024-01-03T12:25:00Z,9937,184.613905
184.55,184.61,184.5,357,184.61,2024-01-03T12:30:00Z,12933,184.555882
184.7,184.7,184.5,271,184.5,2024-01-03T12:35:00Z,7768,184.518697
184.56,184.88,184.56,249,184.7,2024-01-03T12:40:00Z,9664,184.745773
184.6,184.6,184.55,172,184.59,2024-01-03T12:45:00Z,4957,184.562388
184.67,184.72,184.65,118,184.65,2024-01-03T12:50:00Z,5286,184.660129
184.31,184.65,184.31,456,184.65,2024-01-03T12:55:00Z,13870,184.485565
184.2317,185.64,184.2,3542,184.975,2024-01-03T13:00:00Z,98099,184.782805
184.3016,184.4,184.19,500,184.19,2024-01-03T13:05:00Z,15729,184.2674
184.32,184.5,184.32,373,184.38,2024-01-03T13:10:00Z,11754,184.390097
184.56,184.56,184.3937,415,184.3937,2024-01-03T13:15:00Z,10719,184.472536
184.6661,184.7,184.53,450,184.6,2024-01-03T13:20:00Z,176695,184.594959
184.63,184.67,184.61,230,184.61,2024-01-03T13:25:00Z,6672,184.640218
184.6,184.61,184.48,438,184.61,2024-01-03T13:30:00Z,17225,184.56455
184.7399,184.7399,184.62,310,184.62,2024-01-03T13:35:00Z,9240,184.695627
184.72,184.75,184.7,373,184.73,2024-01-03T13:40:00Z,9483,184.718837
184.54,184.7,184.54,287,184.68,2024-01-03T13:45:00Z,5915,184.631908
184.72,184.8789,184.65,369,184.65,2024-01-03T13:50:00Z,24923,184.748666
184.65,184.78,184.65,414,184.66,2024-01-03T13:55:00Z,9267,184.720898
184.5295,184.8,184.47,710,184.68,2024-01-03T14:00:00Z,24524,184.593799
184.43,184.53,184.4,563,184.5,2024-01-03T14:05:00Z,19561,184.451665
184.119,184.43,184.1,951,184.43,2024-01-03T14:10:00Z,51868,184.218432
184.15,184.22,184,1593,184.1,2024-01-03T14:15:00Z,50685,184.078649
184.08,184.25,184.02,718,184.22,2024-01-03T14:20:00Z,39907,184.129266
184.3,184.3,183.5,2267,184,2024-01-03T14:25:00Z,130269,183.885153
185.6399,185.6887,183.86,33566,184.29,2024-01-03T14:30:00Z,3306034,184.707678
185.03,185.88,184.95,18817,185.63,2024-01-03T14:35:00Z,1704697,185.418164
184.82,185.19,184.71,12290,185.035,2024-01-03T14:40:00Z,1100281,184.91241
185.17,185.22,184.69,11811,184.82,2024-01-03T14:45:00Z,1104979,185.007432
185.045,185.35,184.95,10704,185.17,2024-01-03T14:50:00Z,917756,185.148284
184.7701,185.15,184.61,10627,185.04,2024-01-03T14:55:00Z,1431802,184.827646
184.82,185.29,184.56,13492,184.77,2024-01-03T15:00:00Z,1060972,184.856841
184.3613,184.8455,184.34,10128,184.825,2024-01-03T15:05:00Z,772744,184.538265
183.956,184.38,183.95,11328,184.365,2024-01-03T15:10:00Z,1156911,184.116656
183.915,184.14,183.855,8961,183.96,2024-01-03T15:15:00Z,702514,183.980809
183.75,183.95,183.71,9647,183.91,2024-01-03T15:20:00Z,807455,183.822858
183.9587,184.11,183.63,14855,183.75,2024-01-03T15:25:00Z,970814,183.848749
183.92,184.12,183.81,23384,183.955,2024-01-03T15:30:00Z,649020,183.971899
183.78,184.12,183.72,24307,183.925,2024-01-03T15:35:00Z,679645,183.944852
183.83,184.01,183.71,21321,183.76,2024-01-03T15:40:00Z,595975,183.891759
183.53,183.9085,183.495,23261,183.82,2024-01-03T15:45:00Z,757259,183.663015
183.79,183.845,183.45,23815,183.533,2024-01-03T15:50:00Z,640566,183.714287
183.86,183.9,183.5343,21633,183.79,2024-01-03T15:55:00Z,701184,183.710647
184.105,184.14,183.855,20602,183.855,2024-01-03T16:00:00Z,742899,183.992964
184.02,184.27,183.9603,12908,184.11,2024-01-03T16:05:00Z,662396,184.109636
183.9914,184.095,183.91,5410,184.02,2024-01-03T16:10:00Z,370533,184.002675
184,184.1676,183.91,5338,183.99,2024-01-03T16:15:00Z,381648,184.025056
183.93,184.12,183.875,5410,184.01,2024-01-03T16:20:00Z,386649,183.993648
184.2,184.21,183.91,5341,183.935,2024-01-03T16:25:00Z,472511,184.080573
